type,address,description,proxy
cex,0xdf5021a4c1401f1125cd347e394d977630e17cf7,BITFRONT,BITFRONT
cex,0x6cc8dcbca746a6e4fdefb98e1d0df903b107fd21,Bitrue,Bitrue
cex,0x00cdc153aa8894d08207719fe921fff964f28ba3,Bitzlato,Bitzlato
cex,0x25eaff5b179f209cf186b1cdcbfa463a69df4c45,Blockfolio,Blockfolio
cex,0x007174732705604bbbf77038332dc52fd5a5000c,BlockTrades,BlockTrades Exchange
cex,0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,FTX,FTX Exchange
cex,0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,FTX,FTX Exchange 2
cex,0x68eb95dc9934e19b86687a10df8e364423240e94,FTX,FTX: 3X Long Bitcoin Token
cex,0x871baed4088b863fd6407159f3672d70cd34837d,FTX,FTX: 3X Long Ethereum Token
cex,0x016ee7373248a80bde1fd6baa001311d233b3cfa,FTX,FTX: 3X Short Bitcoin Token
"cex,0x2f5e2c9002C058c063d21A06B6cabb50950130c8,FTX,FTX: 3X Short Ethereum Token	",,,
cex,0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9,FTX,FTX: FTT Token
cex,0x04046027549f739edfd5b2a78efdbaf0f0bf4514,BlockFi,BlockFi 1
cex,0xa26a8e242a7470476df1dc11ded5dbc9fca610fa,BlockFi,BlockFi 2
cex,0x2a549b4af9ec39b03142da6dc32221fc390b5533,BlockFi,BlockFi 3
cex,0x3fda25f27211a138adf211f4c060f2149674be6d,BlockFi,BlockFi 4
cex,0x808b4da0be6c9512e948521452227efc619bea52,BlockFi,BlockFi 5
cex,0x530e0a6993ea99ffc96615af43f327225a5fe536,BlockFi,BlockFi 6
cex,0x88d34944cf554e9cccf4a24292d891f620e9c94f,Bithumb,Bithumb 1
cex,0x3052cd6bf951449a984fe4b5a38b46aef9455c8e,Bithumb,Bithumb 2
cex,0x2140efd7ba31169c69dfff6cdc66c542f0211825,Bithumb,Bithumb 3
cex,0xa0ff1e0f30b5dda2dc01e7e828290bc72b71e57d,Bithumb,Bithumb 4
cex,0xc1da8f69e4881efe341600620268934ef01a3e63,Bithumb,Bithumb 5
cex,0xb4460b75254ce0563bb68ec219208344c7ea838c,Bithumb,Bithumb 6
cex,0x15878e87c685f866edfaf454be6dc06fa517b35b,Bithumb,Bithumb 7
cex,0x31d03f07178bcd74f9099afebd23b0ae30184ab5,Bithumb,Bithumb 8
cex,0xed48dc0628789c2956b1e41726d062a86ec45bff,Bithumb,Bithumb 9
cex,0x186549a4ae594fc1f70ba4cffdac714b405be3f9,Bithumb,Bithumb 10
cex,0xd273bd546b11bd60214a2f9d71f22a088aafe31b,Bithumb,Bithumb 11
cex,0x558553d54183a8542f7832742e7b4ba9c33aa1e6,Bithumb,Bithumb 12
cex,0xdb044b8298e04d442fdbe5ce01b8cc8f77130e33,Bitkub,Bitkub Hot Wallet 1
cex,0x3d1d8a1d418220fd53c18744d44c182c46f47468,Bitkub,Bitkub Hot Wallet 2
cex,0x59e0cda5922efba00a57794faf09bf6252d64126,Bitkub,Bitkub Hot Wallet 3
cex,0x1579b5f6582c7a04f5ffeec683c13008c4b0a520,Bitkub,Bitkub Hot Wallet 4
cex,0xeea81c4416d71cef071224611359f6f99a4c4294,BitMEX,BitMEX 1
cex,0xfb8131c260749c7835a08ccbdb64728de432858e,BitMEX,BitMEX 2
cex,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,Bittrex,Bittrex
cex,0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,Bittrex,Bittrex 2
cex,0x66f820a414680b5bcda5eeca5dea238543f42054,Bittrex,Bittrex 3
cex,0x8c34fdca867722be689ab88c20b99b18a03566c9,Cashierest,Cashierest
cex,0x7a56f645dcb513d0326cbaa048e9106ff6d4cd5f,Catex,Catex Exchange
cex,0xd4bddf5e3d0435d7a6214a0b949c7bb58621f37c,Coinhako,Coinhako
cex,0xf2d4766ad705e3a5c9ba5b0436b473085f82f82f,Coinhako,Coinhako: Old Warm Wallet
cex,0xa270f3ad1a7a82e6a3157f12a900f1e25bc4fbfd,CoinMetro,CoinMetro Exchange
cex,0x7c1c73bf60feb40cbcf0f12324200238ee23bb54,CoinMetro,CoinMetro: MultiSig Cold Wallet
cex,0x167a9333bf582556f35bd4d16a7e80e191aa6476,Coinone,Coinone
cex,0x1e2fcfd26d36183f1a5d90f0e6296915b02bcb40,Coinone,Coinone 2
cex,0xd1669ac6044269b59fa12c5822439f609ca54f41,CoinList,CoinList 1
cex,0x8d1f2ebfaccf1136db76fdd1b86f1dede2d23852,CoinList,CoinList 2
cex,0xd2c82f2e5fa236e114a81173e375a73664610998,CoinList,CoinList 3
cex,0xaf1931c20ee0c11bea17a41bfbbad299b2763bc0,Luno,Luno 1
cex,0x416299aade6443e6f6e8ab67126e65a7f606eef5,Luno,Luno 2
cex,0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,Mexc.com,Mexc.com 1
cex,0x0211f3cedbef3143223d3acf0e589747933e8527,Mexc.com,Mexc.com 2
cex,0x3cc936b795a188f0e246cbb2d74c5bd190aecf18,Mexc.com,Mexc.com 3
cex,x39f6a6c85d39d5abad8a398310c52e7c374f2ba3,WhiteBIT,WhiteBIT
cex,0x1689a089aa12d6cbbd88bc2755e4c192f8702000,WhiteBIT,WhiteBIT 3
cex,0x9c67e141c0472115aa1b98bd0088418be68fd249,HitBTC,HitBTC 1
cex,0x59a5208b32e627891c389ebafc644145224006e8,HitBTC,HitBTC 2
cex,0xa12431d0b9db640034b0cdfceef9cce161e62be4,HitBTC,HitBTC 3
cex,0x2101e480e22c953b37b9d0fe6551c1354fe705e6,DMEX,DMEX
cex,0x4e5b2e1dc63f6b91cb6cd759936495434c7e972f,FixedFloat,FixedFloat
