Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NACIONALITAT_CONTINENT,SEXE
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,38,2089,820,4,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,38,2089,768,4,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,38,2089,..,5,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,38,2089,..,5,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,38,2090,8,1,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,38,2090,14,1,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,38,2090,92,2,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,38,2090,89,2,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,38,2090,36,3,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,38,2090,42,3,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,38,2090,758,4,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,38,2090,653,4,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,38,2090,..,5,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,38,2090,..,5,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,39,2091,20,1,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,39,2091,28,1,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,39,2091,228,2,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,39,2091,632,2,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,39,2091,39,3,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,39,2091,38,3,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,39,2091,788,4,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,39,2091,854,4,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,39,2091,..,5,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,39,2091,..,5,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,39,2092,7,1,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,39,2092,15,1,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,39,2092,103,2,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,39,2092,91,2,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,39,2092,41,3,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,39,2092,40,3,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,39,2092,719,4,1
